id,Время начала вызова,Время окончания вызова,Время постановки в очередь,Время переключения на оператора,Время окончания разговора с оператором,"Длительность разговора с оператором, сек",Метка
15219,20:14:54,20:30:42,20:16:02,20:16:02,20:30:22,860.0,0
15220,20:15:07,20:20:30,20:16:14,20:16:14,20:20:23,249.0,0
15221,20:15:29,20:18:09,20:16:37,20:16:37,20:18:07,90.0,0
15222,20:15:46,20:16:17,,,,,0
15223,20:15:58,20:16:55,,,,,0
15224,20:16:32,20:26:02,20:17:38,20:17:43,20:26:02,499.0,0
15225,20:16:58,20:18:39,20:17:28,20:17:31,20:18:37,66.0,0
15226,20:17:09,20:18:53,,,,,0
15227,20:17:13,20:20:06,20:18:06,20:18:06,20:20:06,120.0,0
15228,20:17:17,20:20:13,20:18:25,20:18:25,20:19:32,67.0,1
15229,20:18:03,20:20:55,20:19:08,20:19:08,20:20:53,105.0,0
15230,20:18:36,20:22:31,20:19:45,20:19:48,20:22:29,161.0,0
15231,20:19:01,20:19:32,,,,,0
15232,20:20:10,20:23:41,20:21:14,20:21:14,20:23:41,147.0,0
15233,20:20:26,20:22:05,20:20:26,20:20:26,20:22:05,99.0,1
15234,20:22:30,20:25:31,20:23:14,20:23:14,20:25:30,136.0,0
15235,20:25:04,20:29:19,20:26:13,20:26:13,20:28:39,146.0,0
15236,20:25:26,20:32:59,20:26:00,20:26:00,20:32:57,417.0,0
15237,20:25:29,20:32:24,20:26:37,20:26:40,20:31:38,298.0,0
15238,20:27:23,20:36:24,20:28:31,20:28:31,20:35:52,441.0,0
15239,20:28:21,20:31:57,20:29:29,20:29:29,20:31:07,98.0,0
15240,20:28:31,20:29:41,,,,,0
15241,20:29:56,20:34:12,20:31:02,20:31:02,20:34:12,190.0,0
15242,20:31:20,20:32:17,,,,,0
15243,20:31:32,20:35:50,20:32:04,20:32:09,20:35:50,221.0,0
15244,20:32:46,20:37:54,20:33:55,20:33:55,20:37:11,196.0,0
15245,20:33:23,20:37:38,20:34:28,20:34:28,20:37:08,160.0,1
15246,20:33:50,20:36:25,20:34:58,20:34:58,20:36:22,84.0,0
15247,20:35:46,20:42:46,20:36:54,20:36:54,20:42:04,310.0,0
15248,20:38:04,20:38:53,,,,,0
15249,20:38:30,20:46:11,20:39:42,20:39:45,20:45:37,352.0,0
15250,20:39:01,20:39:07,,,,,1
15251,20:39:01,20:49:05,20:40:10,20:40:10,20:48:25,495.0,1
15252,20:40:39,20:43:26,20:41:50,20:41:50,20:42:52,62.0,0
15253,20:42:37,20:50:06,20:43:44,20:43:44,20:49:23,339.0,0
15254,20:42:56,20:43:35,,,,,0
15255,20:43:24,20:49:22,20:44:32,20:44:32,20:48:40,248.0,0
15256,20:43:35,20:47:17,20:44:42,20:44:42,20:47:17,155.0,0
15257,20:43:37,20:47:32,20:44:42,20:44:47,20:47:04,137.0,0
15258,20:43:42,20:51:05,20:44:15,20:44:20,20:50:30,370.0,0
15259,20:44:08,20:45:03,,,,,0
15260,20:44:24,20:44:26,,,,,0
15261,20:44:38,20:52:28,20:45:47,20:45:47,20:51:57,370.0,0
15262,20:44:49,20:48:28,20:45:22,20:45:22,20:48:26,184.0,0
15263,20:45:03,20:53:34,20:46:08,20:46:08,20:53:34,446.0,0
15264,20:48:49,20:49:27,,,,,0
15265,20:48:51,20:51:10,20:49:32,20:49:35,20:51:03,88.0,1
15266,20:49:33,20:53:05,20:50:42,20:50:47,20:53:05,138.0,1
15267,20:49:43,20:53:51,20:50:51,20:50:51,20:53:09,138.0,1
15268,20:49:47,20:54:05,20:50:55,20:50:55,20:53:21,146.0,0
15269,20:50:59,20:54:15,20:52:03,20:52:03,20:53:42,99.0,0
15270,20:51:30,20:52:28,,,,,0
15271,20:52:22,20:53:21,,,,,0
15272,20:52:54,20:55:49,20:54:01,20:54:01,20:55:20,79.0,1
15273,20:53:17,20:54:37,20:54:25,20:54:30,20:54:37,7.0,0
15274,20:54:39,20:57:55,20:55:48,20:55:48,20:57:23,95.0,1
15275,20:54:45,21:02:39,20:55:22,20:55:25,21:02:20,415.0,0
15276,20:54:54,20:56:16,,,,,0
15277,20:56:54,21:03:07,20:58:02,20:58:02,21:02:42,280.0,0
15278,20:58:07,21:03:45,20:59:15,20:59:15,21:02:59,224.0,0
15279,20:58:20,20:59:31,,,,,0
15280,20:58:54,21:00:04,,,,,0
15281,20:59:24,21:03:06,21:00:32,21:00:32,21:03:02,150.0,1
15282,21:00:10,21:03:26,21:01:14,21:01:14,21:02:56,102.0,0
15283,21:00:12,21:17:09,21:01:17,21:01:22,21:16:37,915.0,1
15284,21:00:19,21:01:09,,,,,0
15285,21:00:24,21:02:33,21:01:30,21:01:30,21:02:33,63.0,0
15286,21:00:44,21:10:14,21:01:51,21:02:43,21:10:14,451.0,0
15287,21:01:20,21:06:39,21:02:29,21:02:51,21:06:39,228.0,1
15288,21:01:43,21:02:31,,,,,0
15289,21:01:53,21:09:09,21:03:01,21:03:01,21:08:28,327.0,0
15290,21:02:45,21:05:12,21:03:13,21:03:13,21:05:12,119.0,0
15291,21:02:46,21:08:48,21:03:55,21:03:55,21:08:12,257.0,0
15292,21:04:08,21:07:22,21:04:40,21:05:16,21:07:08,112.0,1
15293,21:04:45,21:06:21,21:05:53,,,,0
15294,21:05:09,21:14:49,21:06:18,21:07:03,21:14:06,423.0,0
15295,21:05:26,21:08:53,21:06:33,21:07:13,21:08:53,100.0,0
15296,21:10:09,21:13:46,21:10:43,21:10:43,21:13:44,181.0,1
15297,21:10:56,21:11:28,,,,,0
15298,21:11:10,21:13:56,21:12:15,21:12:15,21:13:30,75.0,0
15299,21:11:47,21:12:59,21:12:14,21:12:14,21:12:59,45.0,1
15300,21:12:19,21:12:51,,,,,0
15301,21:12:35,21:15:34,21:13:41,21:13:41,21:15:34,113.0,0
15302,21:13:12,21:17:58,21:14:20,21:14:20,21:17:18,178.0,0
15303,21:13:16,21:17:20,21:13:33,21:13:33,21:14:57,84.0,0
15304,21:13:33,21:17:36,21:14:41,21:14:41,21:16:59,138.0,0
15305,21:14:35,21:15:41,,,,,0
15306,21:16:32,21:21:49,21:17:41,21:17:41,21:21:48,247.0,0
15307,21:17:06,21:18:37,,,,,0
15308,21:17:09,21:18:46,21:18:17,21:18:17,21:18:46,29.0,0
15309,21:17:27,21:19:37,21:18:07,21:18:07,21:19:37,90.0,0
15310,21:17:36,21:20:24,21:18:44,21:18:49,21:20:23,94.0,1
15311,21:17:50,21:18:13,,,,,0
15312,21:18:19,21:19:13,,,,,0
15313,21:19:57,21:25:16,21:21:04,21:21:04,21:24:51,227.0,1
15314,21:20:38,21:24:50,21:21:46,21:21:46,21:24:12,146.0,0
15315,21:23:27,21:24:25,,,,,0
15316,21:23:40,21:24:46,,,,,0
15317,21:24:37,21:25:23,,,,,0
15318,21:24:51,21:25:57,,,,,0
15319,21:26:05,21:33:37,21:27:13,21:27:13,21:33:36,383.0,1
15320,21:26:32,21:34:49,21:27:40,21:27:40,21:34:49,429.0,0
15321,21:28:01,21:32:03,21:29:06,21:29:06,21:32:03,177.0,0
15322,21:28:30,21:34:44,21:29:39,21:29:39,21:34:44,305.0,0
15323,21:29:56,21:40:04,21:31:00,21:31:12,21:39:21,489.0,1
15324,21:29:58,21:31:35,21:31:06,,,,0
15325,21:30:48,21:31:49,,,,,0
15326,21:31:10,21:35:06,21:32:17,21:32:22,21:34:43,141.0,0
15327,21:31:22,21:36:31,21:31:55,21:31:55,21:36:29,274.0,0
15328,21:31:59,21:40:32,21:33:05,21:33:05,21:40:07,422.0,0
15329,21:32:35,21:35:26,21:33:43,21:33:43,21:35:27,104.0,0
15330,21:33:32,21:37:22,21:34:41,21:34:57,21:37:05,128.0,1
15331,21:32:47,21:37:46,21:33:55,21:34:57,21:37:43,166.0,1
15332,21:33:00,21:40:11,21:34:05,21:35:02,21:39:30,268.0,0
15333,21:34:43,21:34:52,,,,,0
15334,21:36:18,21:39:27,21:37:26,21:37:44,21:39:00,76.0,1
15335,21:36:18,21:40:20,21:37:28,21:38:28,21:40:18,110.0,1
15336,21:37:39,21:41:34,21:38:46,21:39:01,21:41:06,125.0,1
15337,21:38:00,21:43:19,21:39:08,21:39:25,21:42:47,202.0,1
15338,21:38:17,21:43:56,21:39:23,21:39:34,21:43:26,232.0,0
15339,21:38:43,21:42:42,21:39:51,21:40:15,21:42:38,143.0,0
15340,21:39:32,21:40:07,,,,,0
15341,21:39:35,21:42:53,21:40:43,21:40:48,21:42:46,118.0,0
15342,21:39:55,21:47:40,21:40:15,21:40:15,21:47:34,439.0,0
15343,21:40:18,21:40:44,,,,,0
15344,21:40:21,21:45:26,21:41:28,21:41:28,21:44:54,206.0,0
15345,21:43:30,21:44:23,,,,,0
15346,21:43:34,21:46:22,21:44:39,21:44:39,21:45:48,69.0,0
15347,21:43:57,21:47:23,21:45:05,21:45:10,21:47:20,130.0,0
15348,21:45:28,21:51:33,21:46:35,21:46:35,21:50:54,259.0,1
15349,21:45:42,21:51:38,21:46:50,21:46:50,21:51:09,259.0,0
15350,21:46:50,21:48:15,21:47:58,21:47:58,21:48:15,17.0,0
15351,21:48:07,21:54:39,21:49:14,21:49:14,21:54:39,325.0,0
15352,21:48:29,21:49:12,,,,,0
15353,21:48:30,21:49:28,,,,,0
15354,21:48:49,21:52:27,21:49:56,21:50:01,21:52:27,146.0,0
15355,21:49:19,21:53:10,21:50:25,21:50:25,21:52:36,131.0,0
15356,21:50:08,21:54:28,21:51:17,21:51:17,21:54:26,189.0,0
15357,21:50:28,21:51:12,,,,,0
15358,21:50:43,22:01:03,21:51:52,21:51:52,22:00:29,517.0,1
15359,21:51:35,21:54:08,21:52:44,21:52:44,21:54:08,84.0,0
15360,21:53:25,21:54:13,,,,,0
15361,21:53:30,21:59:13,21:54:38,21:54:38,21:58:42,244.0,0
15362,21:53:48,21:56:48,21:54:26,21:54:31,21:55:53,82.0,0
15363,21:54:55,21:55:00,,,,,0
15364,21:55:24,21:58:51,21:56:33,21:56:33,21:58:11,98.0,1
15365,21:55:38,21:59:58,21:56:09,21:56:09,21:59:57,228.0,0
15366,21:56:30,21:57:32,,,,,0
15367,21:57:37,22:01:28,21:58:46,21:58:46,22:01:27,161.0,0
15368,21:59:42,22:05:29,22:00:52,22:00:57,22:05:28,271.0,1
15369,21:59:49,22:05:04,22:00:54,22:00:54,22:04:34,220.0,0
15370,22:00:10,22:04:16,22:01:18,22:01:18,22:03:38,140.0,0
15371,22:00:18,22:04:35,22:01:27,22:01:27,22:04:30,183.0,0
15372,22:00:51,22:01:54,,,,,0
15373,22:02:22,22:04:33,22:03:30,22:03:30,22:04:33,63.0,0
15374,22:03:03,22:07:36,22:04:11,22:04:11,22:07:14,183.0,0
15375,22:04:15,22:10:28,22:05:24,22:05:24,22:10:25,301.0,1
15376,22:04:29,22:07:31,22:05:37,22:05:37,22:06:54,77.0,0
15377,22:05:22,22:06:41,,,,,0
15378,22:08:05,22:11:51,22:09:12,22:09:12,22:11:24,132.0,0
15379,22:10:15,22:13:04,22:10:46,22:10:46,22:13:04,138.0,0
15380,22:11:41,22:14:18,22:12:50,22:12:55,22:14:15,80.0,1
15381,22:11:50,22:15:50,22:12:15,22:12:15,22:14:37,142.0,0
15382,22:12:30,22:13:35,,,,,0
15383,22:12:57,22:17:16,22:14:09,22:14:09,22:16:36,147.0,0
15384,22:13:45,22:22:17,22:14:53,22:14:53,22:21:34,401.0,0
15385,22:14:22,22:14:39,,,,,0
15386,22:14:36,22:18:00,22:15:44,22:15:44,22:18:00,136.0,0
15387,22:14:47,22:15:11,,,,,0
15388,22:15:48,22:20:09,22:16:13,22:16:13,22:18:31,138.0,1
15389,22:17:15,22:18:28,,,,,0
15390,22:17:27,22:18:39,,,,,0
15391,22:18:10,22:18:30,,,,,0
15392,22:18:34,22:27:04,22:19:43,22:19:48,22:26:33,405.0,0
15393,22:18:45,22:20:06,,,,,0
15394,22:19:22,22:22:37,22:20:30,22:20:30,22:22:37,127.0,0
15395,22:19:47,22:25:22,22:20:56,22:20:56,22:25:21,265.0,0
15396,22:20:13,22:26:23,22:21:19,22:21:19,22:25:53,274.0,0
15397,22:20:22,22:25:50,22:21:27,22:21:27,22:25:50,263.0,0
15398,22:20:58,22:23:10,22:21:17,22:21:17,22:23:10,113.0,0
15399,22:21:32,22:24:09,22:22:19,22:22:19,22:24:09,110.0,0
15400,22:22:31,22:29:22,22:23:38,22:23:38,22:28:43,305.0,0
15401,22:23:17,22:26:21,22:23:40,22:23:40,22:26:21,161.0,0
15402,22:24:11,22:30:39,22:24:37,22:24:58,22:29:21,263.0,0
15403,22:25:16,22:30:44,22:26:24,22:26:24,22:30:27,243.0,0
15404,22:26:42,22:28:59,22:27:11,22:27:11,22:28:23,72.0,0
15405,22:27:53,22:29:09,,,,,0
15406,22:29:23,22:31:04,,,,,0
15407,22:29:27,22:32:54,22:30:32,22:30:37,22:32:51,134.0,0
15408,22:29:35,22:33:23,22:30:41,22:30:41,22:32:56,135.0,0
15409,22:29:53,22:32:32,22:31:01,22:31:01,22:32:31,90.0,0
15410,22:30:46,22:35:47,22:31:52,22:31:52,22:35:13,201.0,1
15411,22:32:50,22:36:00,22:33:58,22:33:58,22:35:15,77.0,0
15412,22:32:57,22:33:08,,,,,0
15413,22:33:05,22:37:14,22:34:13,22:34:13,22:36:58,165.0,0
15414,22:33:16,22:34:06,,,,,0
15415,22:34:06,22:35:27,,,,,0
15416,22:34:40,22:38:13,22:35:49,22:35:49,22:37:45,116.0,1
15417,22:35:30,22:36:42,,,,,0
15418,22:35:34,22:37:01,,,,,0
15419,22:36:23,22:37:56,,,,,0
15420,22:36:34,22:38:14,22:37:08,22:37:08,22:38:07,59.0,0
15421,22:36:35,22:41:25,22:37:36,22:37:36,22:41:25,229.0,0
15422,22:36:45,22:40:30,22:37:29,22:37:34,22:40:25,171.0,0
15423,22:36:56,22:41:18,22:38:05,22:38:05,22:40:41,156.0,0
15424,22:38:29,22:39:36,,,,,0
15425,22:39:00,22:43:36,22:40:06,22:40:06,22:42:57,171.0,0
15426,22:39:40,22:40:05,,,,,0
15427,22:40:26,22:41:11,,,,,0
15428,22:40:37,22:41:31,,,,,0
15429,22:42:17,22:43:16,,,,,0
15430,22:42:44,22:57:21,22:43:15,22:43:15,22:57:21,846.0,0
15431,22:43:29,22:44:13,,,,,0
15432,22:43:34,22:44:23,,,,,0
15433,22:43:46,22:44:28,,,,,0
15434,22:45:18,22:51:49,22:46:27,22:46:27,22:51:24,297.0,0
15435,22:46:08,22:57:24,22:47:12,22:47:12,22:56:52,580.0,0
15436,22:47:08,22:47:57,,,,,0
15437,22:47:10,22:47:45,,,,,0
15438,22:48:44,22:49:55,22:49:53,22:49:53,22:49:55,2.0,1
15439,22:48:52,22:53:42,22:50:00,22:50:00,22:53:42,222.0,0
15440,22:49:04,22:54:59,22:50:17,22:50:17,22:54:59,282.0,0
15441,22:51:30,22:52:13,,,,,0
15442,22:52:09,23:01:02,22:52:54,22:52:54,23:00:30,456.0,0
15443,22:53:57,22:59:21,22:55:05,22:55:05,22:59:21,256.0,0
15444,22:56:08,22:58:09,22:56:37,22:56:37,22:58:09,92.0,0
15445,22:57:00,22:57:40,,,,,0
15446,22:57:40,23:01:09,22:58:48,22:58:48,23:00:18,90.0,0
15447,22:58:14,23:03:14,22:59:23,22:59:23,23:02:38,195.0,0
15448,22:58:37,23:01:22,22:59:13,22:59:13,23:01:08,115.0,0
15449,22:58:59,22:59:54,,,,,0
15450,23:00:57,23:01:19,,,,,0
15451,23:02:32,23:05:04,23:03:38,23:03:38,23:04:57,79.0,0
15452,23:03:15,23:03:57,,,,,0
15453,23:06:36,23:12:29,23:07:43,23:07:43,23:11:59,256.0,0
15454,23:08:51,23:11:40,,,,,0
15455,23:09:14,23:14:42,23:10:22,23:10:27,23:14:11,224.0,0
15456,23:10:08,23:13:44,23:10:37,23:10:42,23:13:44,182.0,0
15457,23:13:03,23:20:00,23:14:09,23:14:14,23:20:00,346.0,0
15458,23:13:25,23:14:00,,,,,0
15459,23:14:12,23:15:16,,,,,0
15460,23:14:42,23:18:15,23:15:46,23:15:51,23:18:02,131.0,0
15461,23:16:43,23:20:03,23:17:51,23:18:09,23:20:03,114.0,1
15462,23:15:39,23:16:51,,,,,0
15463,23:16:50,23:17:30,,,,,0
15464,23:17:08,23:18:20,,,,,0
15465,23:18:46,23:22:30,23:19:52,23:20:08,23:22:27,139.0,1
15466,23:19:00,23:21:44,23:20:08,23:20:16,23:21:41,85.0,1
15467,23:19:24,23:20:46,23:20:29,,,,0
15468,23:20:29,23:26:22,23:21:35,23:21:50,23:25:40,230.0,1
15469,23:19:38,23:20:36,,,,,0
15470,23:20:45,23:34:10,23:21:49,23:22:43,23:33:38,655.0,1
15471,23:21:36,23:25:09,23:22:06,23:22:24,23:25:09,165.0,1
15472,23:20:56,23:22:00,,,,,0
15473,23:21:18,23:21:48,,,,,0
15474,23:24:12,23:28:35,23:25:20,23:25:36,23:28:08,152.0,1
15475,23:22:03,23:22:17,,,,,0
15476,23:22:11,23:23:28,,,,,0
15477,23:23:37,23:24:12,,,,,0
15478,23:23:49,23:24:35,,,,,0
15479,23:24:52,23:25:37,,,,,0
15480,23:28:01,23:33:09,23:29:09,23:29:14,23:32:40,206.0,0
15481,23:30:23,23:30:56,,,,,0
15482,23:31:00,23:31:35,,,,,0
15483,23:31:26,23:37:12,23:32:32,23:32:47,23:37:12,265.0,1
15484,23:31:03,23:35:45,23:31:44,23:31:44,23:35:15,211.0,0
15485,23:32:28,23:34:19,,,,,0
15486,23:32:42,23:36:11,23:33:46,23:33:51,23:35:38,107.0,0
15487,23:35:06,23:38:15,23:35:37,23:35:37,23:38:14,157.0,1
15488,23:39:15,23:40:00,,,,,0
15489,23:50:07,23:55:02,23:51:15,23:51:20,23:54:19,179.0,0
15490,23:51:01,23:53:34,23:52:09,23:52:14,23:53:32,78.0,0
15491,23:51:37,23:52:49,,,,,0
15492,23:52:11,23:54:09,23:53:21,23:53:21,23:54:09,48.0,1
15493,23:52:57,23:57:45,23:54:05,23:54:10,23:57:22,192.0,0
15494,23:54:43,23:55:19,,,,,0
15495,23:55:27,23:56:21,,,,,0
15496,23:56:19,23:57:02,,,,,0
15497,23:57:20,00:00:42,23:58:28,23:58:33,00:00:25,112.0,0
15498,23:59:46,00:00:36,,,,,0
15499,00:03:09,00:03:15,,,,,0
15500,00:03:50,00:07:46,0:04:58,00:04:58,00:07:19,141.0,1
15501,00:05:16,00:08:22,0:06:22,00:06:27,00:07:57,90.0,1
15502,00:06:29,00:07:08,,,,,0
15503,00:10:47,00:13:15,0:11:55,00:12:00,00:13:15,75.0,1
15504,00:15:07,00:21:06,0:16:15,00:16:15,00:21:06,291.0,1
15505,00:19:44,00:20:40,,,,,0
15506,00:22:02,00:22:50,,,,,0
15507,00:22:15,00:33:15,0:22:56,00:23:01,00:33:15,614.0,1
15508,00:23:08,00:26:30,0:24:11,00:24:11,00:25:49,98.0,1
15509,00:24:04,00:30:24,0:24:04,00:24:09,00:29:10,301.0,1
15510,00:24:56,00:26:26,,,,,0
15511,00:25:22,00:28:09,0:26:27,00:26:27,00:27:41,74.0,1
15512,00:26:44,00:28:03,,,,,0
15513,00:28:20,00:32:54,0:28:50,00:29:00,00:32:21,201.0,1
15514,00:30:45,00:33:45,0:31:53,00:32:08,00:33:42,94.0,1
15515,00:34:14,00:37:48,0:35:20,00:35:25,00:37:20,115.0,1
15516,00:40:13,00:44:39,0:41:19,00:41:24,00:44:06,162.0,1
15517,00:40:25,00:40:54,,,,,0
15518,00:41:34,00:42:50,,,,,0
15519,00:43:04,00:47:14,0:44:13,00:44:13,00:45:43,90.0,1
15520,00:45:09,00:46:08,,,,,0
15521,00:47:38,00:51:25,0:48:14,00:48:19,00:49:27,68.0,1
15522,00:48:44,00:52:11,0:49:49,00:49:54,00:52:11,137.0,1
15523,00:49:12,00:53:32,0:50:20,00:50:20,00:52:54,154.0,1
15524,00:53:40,00:54:23,,,,,0
15525,00:54:19,00:55:31,,,,,0
15526,00:54:53,00:55:07,,,,,0
15527,00:55:05,00:58:12,0:56:13,00:56:18,00:58:10,112.0,1
15528,00:55:34,00:57:11,,,,,0
15529,00:55:51,00:57:30,,,,,0
15530,00:55:56,00:56:03,,,,,0
15531,00:57:21,01:08:21,0:58:32,00:58:37,01:08:20,583.0,1
15532,00:59:28,01:02:31,1:00:35,01:00:35,01:02:31,116.0,1
15533,01:00:11,01:01:28,1:00:43,01:00:48,01:01:28,40.0,1
15534,01:01:04,01:02:29,01:02:12,,,,0
15535,01:01:33,01:03:31,,,,,0
15536,01:03:01,01:07:05,1:03:31,01:03:31,01:06:39,188.0,1
15537,01:04:50,01:09:18,1:05:59,01:06:15,01:09:15,180.0,1
15538,01:05:23,01:11:23,1:06:27,01:06:42,01:11:23,281.0,1
15539,01:07:07,01:15:07,1:08:15,01:08:29,01:14:33,364.0,1
15540,01:10:32,01:11:15,,,,,0
15541,01:11:21,01:12:17,,,,,0
15542,01:15:09,01:15:34,,,,,0
15543,01:15:23,01:19:48,1:16:29,01:16:34,01:19:42,188.0,1
15544,01:15:40,01:16:19,,,,,0
15545,01:16:49,01:17:44,,,,,0
15546,01:24:03,01:28:01,1:25:09,01:25:09,01:28:01,172.0,1
15547,01:27:30,01:28:35,,,,,0
15548,01:28:41,01:29:37,,,,,0
15549,01:29:44,01:34:34,1:30:29,01:30:34,01:34:34,240.0,1
15550,01:30:03,01:34:28,1:30:36,01:30:41,01:34:20,219.0,1
15551,01:41:58,01:47:51,1:43:10,01:43:15,01:47:12,237.0,1
15552,01:46:05,01:53:46,1:47:13,01:47:18,01:53:42,384.0,1
15553,01:49:31,01:56:00,1:50:40,01:50:45,01:56:00,315.0,1
15554,01:57:11,01:59:39,1:58:14,01:58:19,01:59:39,80.0,1
15555,02:02:04,02:07:39,2:03:13,02:03:18,02:07:10,232.0,1
15556,02:14:27,02:18:54,2:15:30,02:15:35,02:18:48,193.0,1
15557,02:15:38,02:19:37,2:16:47,02:16:47,02:18:54,127.0,1
15558,02:18:00,02:20:32,2:18:40,02:18:45,02:20:32,107.0,1
15559,02:18:18,02:27:34,2:19:24,02:19:29,02:27:33,484.0,1
15560,02:20:06,02:20:29,,,,,0
15561,02:24:29,02:29:33,2:25:37,02:25:37,02:29:09,212.0,1
15562,02:31:42,02:33:04,,,,,0
15563,02:33:39,02:34:43,,,,,0
15564,02:34:50,02:36:14,,,,,0
15565,02:36:45,02:39:13,2:37:52,02:37:57,02:38:53,56.0,1
15566,02:42:00,02:47:00,2:43:06,02:43:11,02:47:00,229.0,1
15567,02:50:23,02:51:45,2:50:59,02:50:59,02:51:45,46.0,1
15568,02:50:52,02:53:38,2:52:01,02:52:06,02:53:38,92.0,1
15569,02:51:55,02:54:49,2:52:29,02:52:34,02:54:49,135.0,1
15570,02:52:42,02:53:34,,,,,0
15571,03:17:20,03:17:56,,,,,0
15572,03:18:03,03:18:43,,,,,0
15573,03:18:09,03:19:04,,,,,0
15574,03:18:11,03:24:41,3:19:17,03:19:22,03:24:41,319.0,1
15575,03:18:34,03:21:51,3:19:01,03:19:01,03:20:49,108.0,1
15576,03:24:12,03:30:56,3:25:19,03:25:24,03:30:56,332.0,1
15577,03:31:35,03:38:57,3:32:11,03:32:11,03:38:19,368.0,1
15578,03:38:29,03:45:03,3:39:38,03:39:43,03:44:59,316.0,1
15579,03:38:47,03:46:29,3:39:53,03:39:58,03:45:47,349.0,1
15580,03:39:03,03:39:30,,,,,0
15581,03:44:18,03:44:43,,,,,0
15582,03:50:56,03:55:55,3:52:01,03:52:01,03:55:35,214.0,1
15583,04:07:15,04:07:59,,,,,0
15584,04:21:06,04:27:37,4:22:14,04:22:19,04:27:24,305.0,1
15585,04:22:09,04:26:34,4:22:36,04:22:41,04:24:41,120.0,1
15586,04:24:02,04:25:07,,,,,0
15587,04:24:53,04:29:25,4:26:00,04:26:00,04:29:25,205.0,1
15588,04:25:16,04:26:03,,,,,0
15589,04:29:34,04:31:33,4:30:42,04:30:47,04:31:33,46.0,1
15590,04:30:05,04:33:53,4:31:13,04:31:18,04:33:53,155.0,1
15591,04:32:21,04:32:57,,,,,0
15592,04:32:30,04:36:53,4:33:37,04:33:37,04:35:37,120.0,1
15593,04:39:47,04:42:41,4:40:20,04:40:25,04:42:30,125.0,1
15594,04:43:05,04:43:12,,,,,0
15595,04:47:24,04:48:19,,,,,0
15596,04:55:34,04:56:28,,,,,0
15597,04:57:57,04:58:20,,,,,0
15598,05:06:22,05:09:55,5:07:30,05:07:35,05:09:55,140.0,1
15599,05:08:51,05:14:28,5:09:56,05:09:56,05:14:28,272.0,1
15600,05:15:53,05:23:12,5:17:02,05:17:07,05:22:16,309.0,1
15601,05:35:07,05:41:50,5:36:12,05:36:17,05:41:34,317.0,1
15602,05:40:15,05:43:49,5:41:22,05:41:27,05:43:48,141.0,1
15603,05:42:18,05:43:09,,,,,0
15604,05:43:55,05:53:00,5:44:26,05:44:26,05:48:49,263.0,1
15605,05:44:23,05:50:20,5:45:30,05:45:35,05:49:41,246.0,1
15606,05:44:37,05:47:01,5:45:04,05:45:09,05:47:01,112.0,1
15607,05:50:04,05:53:29,5:51:07,05:51:12,05:53:27,135.0,1
15608,05:56:10,06:02:07,5:57:18,05:57:18,06:02:06,288.0,1
15609,06:04:02,06:05:14,,,,,0
15610,06:05:42,06:07:04,,,,,0
15611,06:06:16,06:08:18,6:07:24,06:07:29,06:08:16,47.0,1
15612,06:07:10,06:10:36,6:08:15,06:08:20,06:10:10,110.0,1
15613,06:18:06,06:20:30,6:19:14,06:19:19,06:20:30,71.0,1
15614,06:18:07,06:20:52,6:19:15,06:19:20,06:20:50,90.0,1
15615,06:20:42,06:21:06,,,,,0
15616,06:21:50,06:27:07,6:22:55,06:23:00,06:26:37,217.0,1
15617,06:26:20,06:30:09,6:27:28,06:27:33,06:29:34,121.0,1
15618,06:26:46,06:30:20,6:27:54,06:27:54,06:30:20,146.0,1
15619,06:27:09,06:29:40,6:28:18,06:28:23,06:29:39,76.0,1
15620,06:30:56,06:36:38,6:32:00,06:32:05,06:36:07,242.0,1
15621,06:32:04,06:32:48,,,,,0
15622,06:33:21,06:37:43,6:34:25,06:34:25,06:37:37,192.0,1
15623,06:33:34,06:35:07,,,,,0
15624,06:33:36,06:34:42,,,,,0
15625,06:37:55,06:40:41,6:39:02,06:39:07,06:40:41,94.0,1
15626,06:42:24,06:50:39,6:43:28,06:43:28,06:50:39,431.0,1
15627,06:43:49,06:44:31,,,,,0
15628,06:47:29,06:48:20,,,,,0
15629,06:47:46,06:53:29,6:48:54,06:48:59,06:53:29,270.0,1
15630,06:49:38,06:55:47,6:50:43,06:50:44,06:55:15,271.0,1
15631,06:50:37,06:51:21,,,,,0
15632,06:53:15,06:54:46,6:53:51,06:54:06,06:54:46,40.0,1
15633,06:53:40,07:00:46,6:53:40,06:55:53,06:59:06,193.0,1
15634,06:54:47,06:58:33,06:55:56,,,,0
15635,06:55:13,06:59:38,6:55:52,06:55:56,06:58:58,182.0,1
15636,06:55:22,06:55:56,,,,,0
15637,06:57:53,07:00:52,6:58:58,06:59:13,07:00:11,58.0,1
15638,06:56:06,06:57:15,,,,,0
15639,06:57:29,06:58:39,,,,,0
15640,06:58:31,06:59:04,,,,,0
15641,06:59:59,07:00:45,,,,,0
15642,07:01:12,07:04:36,7:02:20,07:02:20,07:04:36,136.0,1
15643,07:07:05,07:07:39,,,,,0
15644,07:07:53,07:08:16,,,,,0
15645,07:08:32,07:12:32,7:09:40,07:09:40,07:11:43,123.0,1
15646,07:08:59,07:13:57,7:10:03,07:10:08,07:13:55,227.0,1
15647,07:09:50,07:14:45,7:10:58,07:10:58,07:14:45,227.0,1
